Gender,Married,Dependents,Education,Self_Employed,ApplicantIncome,CoapplicantIncome,LoanAmount,Loan_Amount_Term,Credit_History,Property_Area,Loan_Status
Male,No,0,Graduate,No,1.03396608748055,-0.9699371091618103,0.07748042853999192,0.0,0.0,Urban,1
Male,Yes,1,Graduate,No,0.33139245796460587,0.11952346217181098,0.07748042853999192,0.0,0.0,Rural,0
Male,Yes,0,Graduate,Yes,-0.5471020566671002,-0.9699371091618103,-1.4883495766605583,0.0,0.0,Urban,1
Male,Yes,0,Not Graduate,No,-0.7785184891379918,0.733609327976571,-0.12456215277620812,0.0,0.0,Urban,1
Male,No,0,Graduate,No,1.1177643639867962,-0.9699371091618103,0.40579962317881696,0.0,0.0,Urban,1
Male,Yes,0,Not Graduate,No,-0.9172573575258166,0.12530309384997343,-0.7559452193893332,0.0,0.0,Urban,1
Male,Yes,2,Graduate,No,0.011183149725506412,0.13252763344767649,1.087693335120992,0.0,0.0,Urban,1
Male,Yes,2,Graduate,No,-0.43611096195684046,-0.4642193373225962,-1.3873282860024583,0.0,0.0,Urban,1
Male,Yes,2,Graduate,No,-0.8245797934427497,0.3593781768155525,-0.4023707020859832,0.0,0.0,Urban,1
Male,No,0,Graduate,No,-1.18363598483044,1.0818321365858583,-0.27609408876335817,0.0,0.0,Rural,0
Male,No,0,Graduate,No,0.5350611167579326,-0.9699371091618103,0.0017144605464169001,0.0,0.0,Urban,1
Male,Yes,0,Not Graduate,No,0.5000989219242007,-0.9699371091618103,0.20375704186261692,0.0,0.0,Rural,0
Male,Yes,0,Graduate,No,-0.7690842460876197,1.55865175003426,-0.25083876609883315,0.0,0.0,Urban,1
Male,Yes,1,Graduate,No,-0.14919898213081895,1.1432407231663344,0.658352849824067,0.0,0.0,Semiurban,0
Male,Yes,0,Graduate,Yes,3.0934058498294204,-0.9699371091618103,1.668565756405067,0.0,0.0,Semiurban,1
Male,Yes,0,Graduate,No,-0.6586481068509112,0.6577516622006888,-0.07405150744715812,0.0,0.0,Semiurban,1
Male,Yes,2,Not Graduate,No,0.13327335390679215,-0.21858499100069217,-0.3771153794214582,0.0,0.0,Urban,1
Male,No,0,Not Graduate,No,-1.411722684460024,-0.9699371091618103,-2.2712645792608335,0.0,0.0,Urban,0
Female,No,2,Graduate,No,-0.1308854515036261,0.5349344890397368,-0.12456215277620812,0.0,0.0,Semiurban,1
Male,Yes,1,Graduate,No,0.09997602549371423,1.4640102813043503,1.9211189830503173,0.0,0.0,Urban,0
Male,No,0,Graduate,No,-0.45442449258403333,-0.9699371091618103,-1.2863069953443582,0.0,0.0,Urban,0
Male,No,1,Graduate,Yes,0.39188260458169744,-0.9699371091618103,-0.4781366700795582,0.0,0.0,Rural,0
Male,Yes,0,Graduate,No,-0.2696243198914508,0.23439364177528962,-0.27609408876335817,0.0,0.0,Semiurban,1
Male,Yes,0,Graduate,No,-0.9494447749917919,0.523375225683412,0.07748042853999192,0.0,0.0,Urban,1
Female,Yes,0,Graduate,No,-0.1769467558083839,0.08412321814306599,0.48156559117239195,0.0,0.0,Semiurban,1
Male,No,0,Not Graduate,No,-0.13199536245072868,0.23511609573505993,-0.3771153794214582,0.0,0.0,Semiurban,1
Male,No,0,Graduate,No,-0.21412877253632093,-0.9699371091618103,-1.1347750593572083,0.0,0.0,Urban,0
Male,No,0,Graduate,No,-1.213048624928659,-0.09360045596042925,-1.9682007072865335,0.0,0.0,Urban,1
Male,Yes,0,Graduate,No,-0.8800753407978795,-0.9699371091618103,-1.2610516726798333,0.0,0.0,Urban,1
Male,Yes,0,Graduate,No,-0.024888956055328013,0.7177153408616243,0.22901236452714194,0.0,0.0,Semiurban,1
Male,Yes,0,Not Graduate,Yes,0.3935474710023513,-0.9699371091618103,-0.7306898967248082,0.0,0.0,Urban,1
Female,No,0,Graduate,No,-0.3195703125110677,-0.9699371091618103,-0.9327324780410082,0.0,0.0,Urban,1
Male,Yes,1,Graduate,No,0.9229749927702904,-0.9699371091618103,-2.0439666752801084,0.0,0.0,Urban,1
Male,Yes,0,Graduate,No,1.0184273342211139,-0.9699371091618103,0.48156559117239195,0.0,0.0,Urban,1
Female,No,0,Graduate,No,0.007853416884198619,0.6736456493156355,0.48156559117239195,0.0,0.0,Semiurban,1
Female,Yes,0,Not Graduate,No,-1.1420143243140926,0.21777720070057258,-0.6296686060667082,0.0,0.0,Semiurban,1
Female,No,0,Graduate,No,-0.4993758859416885,-0.9699371091618103,-0.12456215277620812,0.0,0.0,Semiurban,1
Female,No,0,Graduate,No,0.13549317580099735,-0.9699371091618103,-0.32660473409240814,0.0,0.0,Semiurban,0
Male,Yes,2,Graduate,No,0.3497059885917987,-0.9699371091618103,0.22901236452714194,0.0,0.0,Urban,0
Male,Yes,2,Graduate,No,-0.7091490549440795,-0.12683333810986333,-0.7054345740602832,0.0,0.0,Semiurban,1
Male,Yes,0,Graduate,No,-1.0288034077096275,0.17948714083274636,-0.7306898967248082,0.0,0.0,Semiurban,1
Male,Yes,0,Graduate,No,-0.34398835334732486,0.6194616023328626,0.2542676871916669,0.0,0.0,Rural,0
Male,Yes,1,Graduate,No,2.272071748973498,0.6555843003213779,1.390757207095292,0.0,0.0,Urban,1
Male,Yes,2,Not Graduate,No,-0.3489829526092865,1.0955587618214941,0.48156559117239195,0.0,0.0,Urban,1
Male,Yes,0,Graduate,No,-0.8245797934427497,1.7724981221262706,-0.12456215277620812,0.0,0.0,Urban,1
Male,Yes,3+,Graduate,No,-0.5310083479341126,-0.9699371091618103,-0.6549239287312332,0.0,0.0,Urban,1
Male,Yes,0,Graduate,No,-0.4316713181684301,1.2451067314939475,1.1887146257790921,0.0,0.0,Urban,1
Male,Yes,2,Not Graduate,Yes,-1.1714269644123114,0.38466406540751324,-0.7054345740602832,0.0,0.0,Semiurban,1
Male,Yes,3+,Graduate,Yes,0.710427046400143,0.31169621547071236,1.567544465746967,0.0,0.0,Semiurban,1
Male,No,0,Graduate,No,-0.1308854515036261,2.4617191997471424,1.2897359164371922,0.0,0.0,Urban,0
